threshold,val_human_fpr,test_human_fpr,test_macro_recall,test_macro_precision,test_f1,test_tp,test_fp,test_tn,test_fn
0.5718573666921619,0.043478260869565216,0.02608695652173913,0.4375,0.9754098360655737,0.6040609137055838,119,3,112,153
0.5725216140163064,0.043478260869565216,0.02608695652173913,0.4338235294117647,0.9752066115702479,0.6005089058524173,118,3,112,154
0.5738020660632619,0.043478260869565216,0.02608695652173913,0.43014705882352944,0.975,0.5969387755102041,117,3,112,155
0.5741633338611799,0.043478260869565216,0.02608695652173913,0.4264705882352941,0.9747899159663865,0.5933503836317136,116,3,112,156
0.577266116315588,0.043478260869565216,0.02608695652173913,0.4227941176470588,0.9745762711864406,0.5897435897435898,115,3,112,157
0.5775038788699949,0.043478260869565216,0.02608695652173913,0.41911764705882354,0.9743589743589743,0.5861182519280206,114,3,112,158
0.5777380841520899,0.043478260869565216,0.02608695652173913,0.41544117647058826,0.9741379310344828,0.5824742268041238,113,3,112,159
0.5784751742110376,0.043478260869565216,0.02608695652173913,0.4117647058823529,0.9739130434782609,0.5788113695090439,112,3,112,160
0.58003732150347,0.043478260869565216,0.02608695652173913,0.40808823529411764,0.9736842105263158,0.5751295336787565,111,3,112,161
0.5805553672133102,0.043478260869565216,0.02608695652173913,0.40441176470588236,0.9734513274336283,0.5714285714285714,110,3,112,162
0.5805802309069292,0.043478260869565216,0.02608695652173913,0.4007352941176471,0.9732142857142857,0.5677083333333334,109,3,112,163
0.581987469662947,0.043478260869565216,0.02608695652173913,0.39705882352941174,0.972972972972973,0.5639686684073107,108,3,112,164
0.5829263456672807,0.043478260869565216,0.02608695652173913,0.39338235294117646,0.9727272727272728,0.5602094240837696,107,3,112,165
0.5835295054369022,0.043478260869565216,0.02608695652173913,0.3897058823529412,0.9724770642201835,0.5564304461942258,106,3,112,166
0.5838834129860971,0.043478260869565216,0.02608695652173913,0.3860294117647059,0.9722222222222222,0.5526315789473685,105,3,112,167
0.5842496390143811,0.043478260869565216,0.02608695652173913,0.38235294117647056,0.9719626168224299,0.5488126649076517,104,3,112,168
0.5848908655164795,0.043478260869565216,0.02608695652173913,0.3786764705882353,0.9716981132075472,0.544973544973545,103,3,112,169
0.5867112354016478,0.043478260869565216,0.02608695652173913,0.375,0.9714285714285714,0.5411140583554377,102,3,112,170
0.586823463723532,0.043478260869565216,0.02608695652173913,0.3713235294117647,0.9711538461538461,0.5372340425531915,101,3,112,171
0.5868265593681306,0.043478260869565216,0.02608695652173913,0.36764705882352944,0.970873786407767,0.5333333333333333,100,3,112,172
0.5869825220690704,0.043478260869565216,0.02608695652173913,0.3639705882352941,0.9705882352941176,0.5294117647058824,99,3,112,173
0.5877688121584435,0.043478260869565216,0.02608695652173913,0.3602941176470588,0.9702970297029703,0.5254691689008043,98,3,112,174
0.5889320581443265,0.043478260869565216,0.02608695652173913,0.35661764705882354,0.97,0.521505376344086,97,3,112,175
0.5892180554783629,0.043478260869565216,0.02608695652173913,0.35294117647058826,0.9696969696969697,0.5175202156334232,96,3,112,176
0.5892523701931514,0.043478260869565216,0.02608695652173913,0.3492647058823529,0.9693877551020408,0.5135135135135135,95,3,112,177
0.5892540108369452,0.043478260869565216,0.02608695652173913,0.34558823529411764,0.9690721649484536,0.5094850948509485,94,3,112,178
0.5895021562655173,0.043478260869565216,0.02608695652173913,0.34191176470588236,0.96875,0.5054347826086957,93,3,112,179
0.5898226674576064,0.043478260869565216,0.02608695652173913,0.3382352941176471,0.968421052631579,0.5013623978201635,92,3,112,180
0.5905486321874858,0.043478260869565216,0.02608695652173913,0.33455882352941174,0.9680851063829787,0.4972677595628415,91,3,112,181
0.5906441629386733,0.043478260869565216,0.02608695652173913,0.33088235294117646,0.967741935483871,0.4931506849315068,90,3,112,182
0.591602347666632,0.043478260869565216,0.02608695652173913,0.3272058823529412,0.967391304347826,0.489010989010989,89,3,112,183
0.5933305205107878,0.043478260869565216,0.02608695652173913,0.3235294117647059,0.967032967032967,0.48484848484848486,88,3,112,184
0.5937199848574464,0.043478260869565216,0.02608695652173913,0.31985294117647056,0.9666666666666667,0.48066298342541436,87,3,112,185
0.5937803962903212,0.043478260869565216,0.02608695652173913,0.3161764705882353,0.9662921348314607,0.47645429362880887,86,3,112,186
0.5944408904548609,0.043478260869565216,0.02608695652173913,0.3125,0.9659090909090909,0.4722222222222222,85,3,112,187
0.5958297730523462,0.043478260869565216,0.02608695652173913,0.3088235294117647,0.9655172413793104,0.467966573816156,84,3,112,188
0.5960993045468476,0.043478260869565216,0.02608695652173913,0.30514705882352944,0.9651162790697675,0.46368715083798884,83,3,112,189
0.596521437796875,0.043478260869565216,0.02608695652173913,0.3014705882352941,0.9647058823529412,0.45938375350140054,82,3,112,190
0.5972769347689526,0.043478260869565216,0.02608695652173913,0.2977941176470588,0.9642857142857143,0.4550561797752809,81,3,112,191
0.5975130996202588,0.043478260869565216,0.02608695652173913,0.29411764705882354,0.963855421686747,0.4507042253521127,80,3,112,192
0.5985677574296295,0.043478260869565216,0.02608695652173913,0.29044117647058826,0.9634146341463414,0.4463276836158192,79,3,112,193
0.6000523185232786,0.043478260869565216,0.02608695652173913,0.2867647058823529,0.9629629629629629,0.44192634560906513,78,3,112,194
0.6006028510154181,0.043478260869565216,0.02608695652173913,0.28308823529411764,0.9625,0.4375,77,3,112,195
0.6008504968939138,0.043478260869565216,0.02608695652173913,0.27941176470588236,0.9620253164556962,0.43304843304843305,76,3,112,196
0.6010183116924805,0.043478260869565216,0.02608695652173913,0.2757352941176471,0.9615384615384616,0.42857142857142855,75,3,112,197
0.6016850942591413,0.043478260869565216,0.02608695652173913,0.27205882352941174,0.961038961038961,0.42406876790830944,74,3,112,198
0.6018029967182277,0.043478260869565216,0.02608695652173913,0.26838235294117646,0.9605263157894737,0.41954022988505746,73,3,112,199
