browser_log,flow_id,decision,risk_score,rule_score,model_score,context_score,rules_triggered
logs\macro_v2\20260213_perf001_flow_20260213_bhkn4m_success.json,flow_20260213_bhkn4m,challenge,0.31063959,0.00000000,0.77659898,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_bpcww0_success.json,flow_20260213_bpcww0,allow,0.24870587,0.00000000,0.62176468,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_bphcd2_success.json,flow_20260213_bphcd2,allow,0.27570709,0.00000000,0.68926772,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_bptk8w_success.json,flow_20260213_bptk8w,allow,0.19936442,0.00000000,0.49841106,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_bq1tbh_success.json,flow_20260213_bq1tbh,allow,0.20925476,0.00000000,0.52313691,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_bsyinf_success.json,flow_20260213_bsyinf,allow,0.27664332,0.00000000,0.69160830,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_bv6taz_success.json,flow_20260213_bv6taz,allow,0.26913274,0.00000000,0.67283184,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_c48oqi_success.json,flow_20260213_c48oqi,allow,0.29209659,0.00000000,0.73024149,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_c9cwom_success.json,flow_20260213_c9cwom,challenge,0.31942687,0.00000000,0.79856718,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_cbnbtf_success.json,flow_20260213_cbnbtf,allow,0.29350629,0.00000000,0.73376574,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ccyytr_success.json,flow_20260213_ccyytr,allow,0.26506370,0.00000000,0.66265926,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_col5g7_success.json,flow_20260213_col5g7,allow,0.23087932,0.00000000,0.57719829,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_crjnby_success.json,flow_20260213_crjnby,allow,0.27658877,0.00000000,0.69147191,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_cshgwt_success.json,flow_20260213_cshgwt,allow,0.25660260,0.00000000,0.64150650,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_d2zxld_success.json,flow_20260213_d2zxld,allow,0.29823571,0.00000000,0.74558927,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_d322qt_success.json,flow_20260213_d322qt,allow,0.25791043,0.00000000,0.64477607,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_d7iaky_success.json,flow_20260213_d7iaky,allow,0.24913232,0.00000000,0.62283081,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_dgtzzq_success.json,flow_20260213_dgtzzq,allow,0.26790555,0.00000000,0.66976388,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_di3d5r_success.json,flow_20260213_di3d5r,allow,0.28061933,0.00000000,0.70154832,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_dilnut_success.json,flow_20260213_dilnut,allow,0.22862697,0.00000000,0.57156741,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_dk34q7_success.json,flow_20260213_dk34q7,allow,0.24185561,0.00000000,0.60463903,0.00000000,
